run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 22:08:54.438983,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
,1.2.0,2022-07-01 22:09:21.948734,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
,1.2.0,2022-07-01 22:09:48.834494,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
,1.2.0,2022-07-01 22:10:15.762608,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
,1.2.0,2022-07-01 22:10:41.932371,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
