run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-11 23:43:36.538279,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
,1.2.0,2022-07-11 23:43:51.722281,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
,1.2.0,2022-07-11 23:44:06.872112,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
,1.2.0,2022-07-11 23:44:22.002542,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
,1.2.0,2022-07-11 23:44:37.119671,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
