run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.1,2022-07-01 20:58:59.601655,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-01 20:59:28.001676,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-01 20:59:56.614572,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-01 21:00:25.194056,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-01 21:00:54.215709,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
