run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.1,2022-07-01 18:00:39.193530,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024577267467975616,0.9918000102043152
,1.2.1,2022-07-01 18:01:02.089567,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024577267467975616,0.9918000102043152
,1.2.1,2022-07-01 18:01:24.629916,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024577267467975616,0.9918000102043152
,1.2.1,2022-07-01 18:01:46.447387,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024577267467975616,0.9918000102043152
,1.2.1,2022-07-01 18:02:07.716148,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024577267467975616,0.9918000102043152
