run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 17:59:06.243337,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.013638035394251347,0.9949439167976379
,1.2.0,2022-07-01 17:59:25.806141,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.013638035394251347,0.9949439167976379
,1.2.0,2022-07-01 17:59:47.146613,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.013638035394251347,0.9949439167976379
,1.2.0,2022-07-01 18:00:09.506516,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.013638035394251347,0.9949439167976379
,1.2.0,2022-07-01 18:00:31.228366,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.013638035394251347,0.9949439167976379
