run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 10:10:18.367130,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03493845462799072,0.9880971312522888
,1.2.0,2022-07-01 10:10:43.942580,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03493845462799072,0.9880971312522888
,1.2.0,2022-07-01 10:11:09.755889,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03493845462799072,0.9880971312522888
,1.2.0,2022-07-01 10:11:34.913679,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03493845462799072,0.9880971312522888
,1.2.0,2022-07-01 10:12:00.192809,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03493845462799072,0.9880971312522888
