run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-12 00:08:59.372493,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
,1.2.0,2022-07-12 00:09:14.276345,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
,1.2.0,2022-07-12 00:09:29.064607,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
,1.2.0,2022-07-12 00:09:44.076465,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
,1.2.0,2022-07-12 00:09:58.964169,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.024256784468889236,0.9939256906509399
