run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 22:00:05.772158,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.4004577100276947,0.8495200276374817
,1.2.0,2022-07-01 22:01:38.489037,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3839014768600464,0.8572800159454346
,1.2.0,2022-07-01 22:03:11.761798,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33891597390174866,0.8664399981498718
,1.2.0,2022-07-01 22:04:47.987620,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.37648504972457886,0.8625199794769287
,1.2.0,2022-07-01 22:06:23.772189,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33116087317466736,0.8621199727058411
