run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-11 18:22:18.481122,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.34445953369140625,0.8657199740409851
,1.2.0,2022-07-11 18:23:48.979174,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.35474199056625366,0.865559995174408
,1.2.0,2022-07-11 18:25:20.012668,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.36570098996162415,0.8568000197410583
,1.2.0,2022-07-11 18:26:48.880512,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.36926159262657166,0.859279990196228
,1.2.0,2022-07-11 18:28:11.599497,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3410106301307678,0.8614799976348877
