run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.1,2022-07-11 18:30:46.713740,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-11 18:31:15.660326,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-11 18:31:44.224913,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-11 18:32:13.176218,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-11 18:32:42.334035,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,15,0.024677753448486328,0.9918000102043152
