run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-11 23:58:04.884225,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3497081696987152,0.8598399758338928
,1.2.0,2022-07-11 23:59:53.588053,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.43748489022254944,0.7883599996566772
,1.2.0,2022-07-12 00:01:42.269873,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3549818992614746,0.8576400279998779
,1.2.0,2022-07-12 00:03:31.693109,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.34922394156455994,0.860319972038269
,1.2.0,2022-07-12 00:05:20.792058,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3369385898113251,0.8690800070762634
