run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-10 17:27:21.723513,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,30,0.010753399692475796,0.9972612857818604
,1.2.0,2022-07-10 17:28:34.068858,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,30,0.010753399692475796,0.9972612857818604
,1.2.0,2022-07-10 17:29:45.744892,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,30,0.010753399692475796,0.9972612857818604
,1.2.0,2022-07-10 17:30:57.338144,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,30,0.010753399692475796,0.9972612857818604
,1.2.0,2022-07-10 17:32:30.221273,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,30,0.010753399692475796,0.9972612857818604
