run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.1,2022-07-01 20:05:46.917263,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0239575132727623,0.9918000102043152
,1.2.1,2022-07-01 20:06:09.725718,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0239575132727623,0.9918000102043152
,1.2.1,2022-07-01 20:06:31.940305,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0239575132727623,0.9918000102043152
,1.2.1,2022-07-01 20:06:53.756482,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0239575132727623,0.9918000102043152
,1.2.1,2022-07-01 20:07:16.311681,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0239575132727623,0.9918000102043152
