run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.1,2022-07-10 00:28:55.052140,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0242402795702219,0.9919999837875366
,1.2.1,2022-07-10 00:32:27.777394,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0242402795702219,0.9919999837875366
,1.2.1,2022-07-10 00:36:03.074279,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0242402795702219,0.9919999837875366
,1.2.1,2022-07-10 00:40:32.164826,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0242402795702219,0.9919999837875366
,1.2.1,2022-07-10 00:45:01.387843,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.0242402795702219,0.9919999837875366
