run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.1,2022-07-10 17:55:19.309750,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,10.2.1 20210130 (Red Hat 10.2.1-11),15,0.02415011078119278,0.9921000003814697
,1.2.1,2022-07-10 17:57:44.600053,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,10.2.1 20210130 (Red Hat 10.2.1-11),15,0.02415011078119278,0.9921000003814697
,1.2.1,2022-07-10 17:59:54.019284,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,10.2.1 20210130 (Red Hat 10.2.1-11),15,0.02415011078119278,0.9921000003814697
,1.2.1,2022-07-10 18:02:04.438630,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,10.2.1 20210130 (Red Hat 10.2.1-11),15,0.02415011078119278,0.9921000003814697
,1.2.1,2022-07-10 18:04:14.774569,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,10.2.1 20210130 (Red Hat 10.2.1-11),15,0.02415011078119278,0.9921000003814697
