run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-10 00:22:02.182981,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.47120344638824463,0.8026000261306763
,1.2.0,2022-07-10 00:39:39.009406,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.47120344638824463,0.8026000261306763
,1.2.0,2022-07-10 00:57:00.658703,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.47120344638824463,0.8026000261306763
,1.2.0,2022-07-10 01:13:47.806093,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.47120344638824463,0.8026000261306763
,1.2.0,2022-07-10 01:30:27.637047,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.47120344638824463,0.8026000261306763
