run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 22:21:39.353127,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3456222116947174,0.8586000204086304
,1.2.0,2022-07-01 22:23:09.203108,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.35175514221191406,0.8561199903488159
,1.2.0,2022-07-01 22:24:40.841778,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3381648361682892,0.8648800253868103
,1.2.0,2022-07-01 22:26:11.303651,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3369324207305908,0.863319993019104
,1.2.0,2022-07-01 22:27:41.860034,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.32718825340270996,0.8621199727058411
