run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 22:28:12.382831,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
,1.2.0,2022-07-01 22:28:33.043361,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
,1.2.0,2022-07-01 22:28:53.541493,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
,1.2.0,2022-07-01 22:29:14.080894,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
,1.2.0,2022-07-01 22:29:34.795982,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,30,0.03177464380860329,0.9906251430511475
