run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.1,2022-07-01 22:48:40.989674,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-01 22:49:14.591751,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-01 22:49:47.817549,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-01 22:50:21.135988,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024677753448486328,0.9918000102043152
,1.2.1,2022-07-01 22:50:54.873499,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.024677753448486328,0.9918000102043152
