run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 20:50:15.034524,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.35601168870925903,0.8515599966049194
,1.2.0,2022-07-01 20:51:43.346524,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3848767578601837,0.8498799800872803
,1.2.0,2022-07-01 20:53:10.734455,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3428346514701843,0.8566799759864807
,1.2.0,2022-07-01 20:54:36.869474,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3985903263092041,0.8224400281906128
,1.2.0,2022-07-01 20:56:03.104716,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.33691251277923584,0.8587200045585632
