run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.1,2022-07-10 05:31:48.085024,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.02487555518746376,0.9915000200271606
,1.2.1,2022-07-10 05:33:51.093026,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.02487555518746376,0.9915000200271606
,1.2.1,2022-07-10 05:35:52.595310,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.02487555518746376,0.9915000200271606
,1.2.1,2022-07-10 05:37:47.594870,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.02487555518746376,0.9915000200271606
,1.2.1,2022-07-10 05:39:52.579686,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,15,0.02487555518746376,0.9915000200271606
