run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 22:37:14.608410,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.35387781262397766,0.8685200214385986
,1.2.0,2022-07-01 22:38:45.480803,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3712075650691986,0.8543199896812439
,1.2.0,2022-07-01 22:40:16.693950,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.36674976348876953,0.8555999994277954
,1.2.0,2022-07-01 22:41:45.310723,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3450283706188202,0.8573200106620789
,1.2.0,2022-07-01 22:43:17.073673,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3404095768928528,0.8597999811172485
