run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 17:53:08.665741,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33643457293510437,0.8658400177955627
,1.2.0,2022-07-01 17:54:41.031649,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33643457293510437,0.8658400177955627
,1.2.0,2022-07-01 17:56:15.025563,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33643457293510437,0.8658400177955627
,1.2.0,2022-07-01 17:57:47.768842,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33643457293510437,0.8658400177955627
,1.2.0,2022-07-01 17:59:20.321082,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33643457293510437,0.8658400177955627
