run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-10 17:25:56.747859,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3593834638595581,0.8425599932670593
,1.2.0,2022-07-10 17:35:10.794228,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3593834638595581,0.8425599932670593
,1.2.0,2022-07-10 17:44:10.162820,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3593834638595581,0.8425599932670593
,1.2.0,2022-07-10 17:54:03.931522,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3593834638595581,0.8425599932670593
,1.2.0,2022-07-10 18:03:39.892802,"3.8.10 (default, Nov 26 2021, 20:14:08) 
[GCC 9.3.0]",2.8.0,7.3.1 20180303,2,0.3593834638595581,0.8425599932670593
