run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-09 23:16:48.189524,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3636545240879059,0.8506799936294556
,1.2.0,2022-07-09 23:30:31.494260,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3636545240879059,0.8506799936294556
,1.2.0,2022-07-09 23:44:22.313135,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3636545240879059,0.8506799936294556
,1.2.0,2022-07-09 23:59:11.410323,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3636545240879059,0.8506799936294556
,1.2.0,2022-07-10 00:13:43.100034,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.3636545240879059,0.8506799936294556
