run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,test_loss,test_accuracy
,1.2.0,2022-07-01 19:48:00.672132,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33245277404785156,0.8658000230789185
,1.2.0,2022-07-01 19:49:47.199758,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33245277404785156,0.8658000230789185
,1.2.0,2022-07-01 19:51:34.159353,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33245277404785156,0.8658000230789185
,1.2.0,2022-07-01 19:53:13.913518,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33245277404785156,0.8658000230789185
,1.2.0,2022-07-01 19:54:56.808508,"3.8.10 (default, Mar 15 2022, 12:22:08) 
[GCC 9.4.0]",2.9.1,9.3.1 20200408,2,0.33245277404785156,0.8658000230789185
